name,ignored,reqs
flagsys,false,
voice_events,false,
player,false,
voice,false,
lui_shared,false,
colors,false,
rank,false,
contracts_shared,false,
gestures,false,
visionset_mgr,false,
drown,false,
activecamo,false,
challenges_shared,false,
globallogic_score,false,
bot_position,false,
bot_stance,false,
bot_action,false,
ability_player,false,
ability_gadgets,false,
deployable,false,
hud,false,
player_role,false,
bot_chain,false,
bot,false,
spawner,false,
music,false,
scene,false,
animation,false,
values,false,
spectating,false,
killcam,false,
potm,false,
out_of_bounds,false,
tweakables,false,
gameobjects,false,
weapons_shared,false,
vehicle_ai,false,
vehicle_death,false,
destructible_character,false,
turret,false,
exploder,false,
vehicle_shared,false,
trigger,false,
util_shared,false,
strategic_command,false,
planner_squad_utility,false,
hash_363beb0dbbf3d8bb,false,
planner_commander,false,
planner_commander_utility,false,
hash_432f3eb0cc2e347f,false,
platoons,false,
hud_message,false,
status_effect_slowed,false,
status_effects,false,
ai_interactables,false,
burnplayer,false,
ai_squads,false,
death_circle,false,
wave_manager,false,
hash_2f08b5db3c5752cf,false,
hash_552e94dba7128a55,false,
load,false,
status_effect_blind,false,
status_effect_deaf,false,
status_effect_dot,false,
status_effect_explosive_damage,false,
status_effect_movement_speed,false,
status_effect_pulse,false,
status_effect_shock,false,
status_effect_suppress,false,
status_effect_wound,false,
influencers_shared,false,
wraith_fire,false,
persistence,false,
medals,false,
popups,false,
dialog_shared,false,
grapple,false,
bb,false,
audio,false,
globallogic_audio,false,
rcxd,false,
killstreaks,false,weapons
supplydrop,false,killstreaks
weapons,false,
infection,false,
mp_platoons,false,
shellshock,false,
serversettings,false,
draft,false,
menus,false,
spawning_shared,false,
deathicons,false,
clientids,false,
hash_65b58f40e5cccbce,false,
gadget_hero_weapon,false,
localheal,false,
supplypod,false,killstreaks
hash_67d1c49d4f76fc41,false,
bot_mp,false,
arena,false,
gadget_health_regen,false,
healthoverlay,false,
high_value_operative,false,
demo,false,
globallogic,false,visionset_mgr
vehicle,false,
callback,false,
globallogic_spawn,false,
userspawnselection,false,
team_assignment,false,
teams,false,
counteruav,false,killstreaks
uav,false,killstreaks
challenges,false,
scoreevents,false,
match,false,
battlechatter,false,
swat_team,false,killstreaks
overwatch_helicopter,false,killstreaks
amws,false,
molotov,false,
gadget_other,false,
abilities,false,
cwl_contracts,false,
perks,false,
art,false,
destructible,false,
grenades,false,
classicmode,false,
contracts,false,
hacker_tool,false,
globallogic_player,false,
spawn_beacon,false,killstreaks
helicopter,false,killstreaks
teamset_allies,false,
teamset_axis,false,
weaponobjects,false,
wasp,false,
lead_drone,false,
wing_drone,false,
drone_squadron,false,killstreaks
multilockap_guidance,false,
battleshield,false,
concertina_wire,false,
gadget_combat_efficiency,false,
gadget_tripwire,false,
gravity_spikes,false,
gadget_icepick,false,
gadget_jammer,false,
gadget_radiation_field,false,
gadget_seeker_mine,false,
shroud,false,
dart,false,killstreaks
smart_cover,false,
gadget_vision_pulse,false,
ac130,false,killstreaks
killstreak_dog,false,killstreaks
planemortar,false,killstreaks
recon_car,false,killstreaks
remotemissile,false,killstreaks
straferun,false,killstreaks
seeker_mine,false,
seeker_mine_mp,false,
ai_tank,false,killstreaks
ultimate_turret,false,killstreaks
sensor_dart,false,
tracker,false,
ballistic_knife,false,
blade,false,
bouncingbetty,false,
explosive_bolt,false,
hawk,false,
hawk_mp,false,
heatseekingmissile,false,
lightninggun,false,
mute_smoke,false,
proximity_grenade,false,
riotshield,false,
shockrifle,false,
smokegrenade,false,
tabun,false,
tacticalinsertion,false,
trophy_system,false,
raps,false,
robot,false,
