name,ignored,reqs
postfx_bundle,false,
animation,false,
scene,false,
visionset_mgr,false,
player,false,
renderoverridebundle,false,
duplicate_render,false,
activecamo,false,
character_customization,false,
lui_shared,false,
fx,false,
exploder,false,
dialog_shared,false,
audio,false,
util_shared,false,
ability_gadgets,false,
destructible_character,false,
clientfaceanim_shared,false,
hud_message,false,
player_role,false,
hash_2f08b5db3c5752cf,false,
burnplayer,false,
death_circle,false,
demo,false,
drown,false,visionset_mgr
hud,false,
killcam,false,
load,false,
out_of_bounds,false,
status_effect_dot,false,
status_effect_explosive_damage,false,
status_effect_pulse,false,
status_effect_suppress,false,
turret,false,
vehicle_shared,false,
acid_bomb,false,
deployable,false,
water_surface,false,
overwatch_helicopter,false,killstreaks
userspawnselection,false,
player_mp,false,renderoverridebundle
globallogic,false,visionset_mgr
music,false,
abilities,false,
vehicle,false,
helicopter_sounds,false,
rewindobjects,false,
callback,false,
battlechatter,false,
proximity_grenade,false,
weapons,false,
destructible,false,
draft,false,
perks,false,
end_game_flow,false,
ambient,false,
global_fx,false,
multi_extracam,false,
rotating_object,false,
hash_6803a03f8581335c,false,
blood,false,
infection,false,
globallogic_actor,false,
hacker_tool,false,
killstreaks,false,
spawnbeacon,false,killstreaks
helicopter,false,killstreaks
teamset_seals,false,
weaponobjects,false,
multilockap_guidance,false,
gadget_concertina_wire,false,
gadget_combat_efficiency,false,
gadget_health_regen,false,
gadget_icepick,false,
gadget_jammer,false,
gadget_radiation_field,false,
hash_1c163cd2be5a27f8,false,
dart,false,killstreaks
gadget_smart_cover,false,
supplypod,false,killstreaks
gadget_tripwire,false,
gadget_vision_pulse,false,
counteruav,false,killstreaks
ac130,false,killstreaks
hash_1e534a864e77c682,false,killstreaks
planemortar,false,killstreaks
recon_car,false,killstreaks
remotemissile,false,killstreaks
supplydrop,false,killstreaks
seeker_mine_mp,false,
swat_team,false,killstreaks
hash_238a199edd3ea220,false,killstreaks
sensor_dart,false,
ultimate_turret,false,killstreaks
tracker,false,
blade,false,
bouncingbetty,false,
sticky_grenade,false,
explosive_bolt,false,
grapple,false,
hawk,false,
hawk_mp,false,
wasp,false,
lightninggun,false,
localheal,false,
mute_smoke,false,
riotshield,false,
shockrifle,false,
wing_drone,false,
smokegrenade,false,
tacticalinsertion,false,
trophy_system,false,
robot,false,
raps,false,
lead_drone,false,
