name,ignored,reqs
flagsys,false,
voice_events,false,
player,false,
voice,false,
lui_shared,false,
colors,false,
rank,false,
contracts_shared,false,
gestures,false,
visionset_mgr,false,
drown,false,
activecamo,false,
challenges_shared,false,
globallogic_score,false,
bot_position,false,
bot_stance,false,
bot_action,false,
ability_player,false,
ability_gadgets,false,
deployable,false,
hud,false,
player_role,false,
bot_chain,false,
bot,false,
spawner,false,
music,false,
scene,false,
animation,false,
values,false,
spectating,false,
killcam,false,
potm,false,
out_of_bounds,false,
tweakables,false,
gameobjects,false,
weapons_shared,false,
vehicle_ai,false,
vehicle_death,false,
destructible_character,false,
turret,false,
exploder,false,
vehicle_shared,false,
trigger,false,
util_shared,false,
persistence,false,
medals,false,
popups,false,
influencers_shared,false,
dialog_shared,false,
hawk,false,
player_free_fall,false,
gadget_tripwire,false,
bb,false,
grapple,false,
hud_message,false,
audio,false,
globallogic_audio,false,
rcxd,false,
killstreaks,false,weapons
weapons,false,
platoons,false,
infection,false,
mp_platoons,false,
shellshock,false,
serversettings,false,
draft,false,
menus,false,
spawning_shared,false,
deathicons,false,
clientids,false,
hash_65b58f40e5cccbce,false,
gadget_hero_weapon,false,
localheal,false,
supplypod,true,killstreaks
hash_67d1c49d4f76fc41,false,
strategic_command,false,
planner_squad_utility,false,
hash_363beb0dbbf3d8bb,false,
planner_commander,false,
planner_commander_utility,false,
hash_432f3eb0cc2e347f,false,
bot_mp,false,
arena,false,
status_effect_explosive_damage,false,
gadget_health_regen,false,
healthoverlay,false,
high_value_operative,false,
demo,false,
globallogic,false,visionset_mgr
vehicle,false,
burnplayer,false,
callback,false,
globallogic_spawn,false,
userspawnselection,false,
team_assignment,false,
teams,false,
counteruav,true,killstreaks
uav,true,killstreaks
challenges,false,
scoreevents,false,
match,false,
battlechatter,false,
supplydrop,true,killstreaks
sensor_dart,false,
homunculus,false,
item_drop,false,item_world
dynent_world,false,
item_world,false,atianmenu_wz_item
item_inventory,false,item_world
wz_spectre,false,
cymbal_monkey,false,
concertina_wire,false,weapons
molotov,false,
gadget_other,false,
smart_cover,false,
gadget_jammer,false,
art,false,
out_of_world,false,
recon_wz,false,
wasp,false,
destructible,false,
wz_snowball_fx,false,
globallogic_player,false,
teamset_allies,false,
teamset_axis,false,
collapsegrenade,false,
decoygrenade,false,
ballistic_knife,false,
heatseekingmissile,false,
lightninggun,false,
smokegrenade,false,
trophy_system,false,
weaponobjects,false,
multilockap_guidance,false,
death_circle,false,
bot_insertion,false,
player_insertion,false,
item_supply_drop,false,item_world
wz_highvaluetarget,false,
wz_waterballoon_fx,false,
character_unlock_fixup,false,
character_unlock_woods_fixup,false,character_unlock_fixup
hash_280fe2667ed2d300,false,item_supply_drop
character_unlock,false,character_unlock_fixup
character_unlock_woods,false,character_unlock_woods_fixup
character_unlock_reznov_fixup,false,character_unlock_fixup
wz_dynents,false,
wz_ai_zombie,false,
wz_ai_zonemgr,false,
wz_ai_utils,false,
wz_loadouts,false,item_inventory
recon_car,true,
planemortar,true,
ultimate_turret,true,
armor_station,true,
laststand_warzone,false,
wz_ai,false,
wz_player,false,
wz_contracts,false,
wz_progression,false,
wz_vehicle,false,
character_banter,false,
player_reinsertion,false,
wz_infection,false,infection
wave_spawn,false,
character_unlock_ix_stanton_fixup,false,character_unlock_fixup
wz_cash_safe,false,
wz_common_fixup,false,
character_unlock_menendez,false,character_unlock_menendez_fixup
hawk_wz,false,
character_unlock_firebreak_fixup,false,character_unlock_fixup
item_world_debug,false,item_world
character_unlock_takeo,false,character_unlock_takeo_fixup
character_unlock_ix_bruno,false,character_unlock_ix_bruno_fixup
hash_5d70c94021e00856,false,character_unlock_fixup
character_unlock_ix_diego,false,character_unlock_ix_diego_fixup
item_world_cleanup,false,
swat,false,
wz_medals,false,
character_unlock_scarlett_fixup,false,character_unlock_fixup
character_unlock_ajax,false,character_unlock_ajax_fixup
character_unlock_battery,false,character_unlock_battery_fixup
character_unlock_bruno,false,character_unlock_bruno_fixup
character_unlock_crash,false,character_unlock_crash_fixup
character_unlock_dempsey,false,character_unlock_dempsey_fixup
character_unlock_diego,false,character_unlock_diego_fixup
character_unlock_firebreak,false,character_unlock_firebreak_fixup
character_unlock_ix_scarlett,false,character_unlock_ix_scarlett_fixup
character_unlock_spectre_fixup,false,character_unlock_fixup
character_unlock_ix_stanton,false,character_unlock_ix_stanton_fixup
character_unlock_mason,false,character_unlock_mason_fixup
character_unlock_dempsey_fixup,false,character_unlock_fixup
character_unlock_nomad,false,character_unlock_nomad_fixup
character_unlock_nikolai_fixup,false,character_unlock_fixup
character_unlock_nikolai,false,character_unlock_nikolai_fixup
character_unlock_outrider,false,character_unlock_outrider_fixup
character_unlock_prophet,false,character_unlock_prophet_fixup
character_unlock_reaper,false,character_unlock_reaper_fixup
character_unlock_recon,false,character_unlock_recon_fixup
character_unlock_reznov,false,character_unlock_reznov_fixup
character_unlock_richtofen_fixup,false,character_unlock_fixup
character_unlock_richtofen,false,character_unlock_richtofen_fixup
character_unlock_ruin,false,character_unlock_ruin_fixup
character_unlock_scarlett,false,character_unlock_scarlett_fixup
character_unlock_seraph_fixup,false,character_unlock_fixup
character_unlock_seraph,false,character_unlock_seraph_fixup
character_unlock_spectre,false,character_unlock_spectre_fixup
ultimate_turret_wz,false,
character_unlock_stanton,false,character_unlock_stanton_fixup
