pointid,name,type,amount,itemtype,rarity
0,shotgun_semiauto_t8_item,itemspawnentry,1,weapon,Common
1,perk_item_consumer,itemspawnentry,1,generic,None
2,cymbal_monkey_wz_item,itemspawnentry,1,equipment,None
3,hatchet_wz_item,itemspawnentry,1,equipment,None
4,molotov_wz_item,itemspawnentry,1,equipment,None
5,sensor_dart_wz_item,itemspawnentry,1,equipment,None
6,tank_wz_vehicle_grey,itemspawnentry,unknown,vehicle,None
7,smg_standard_t8_gold_item,itemspawnentry,1,weapon,Epic
8,reddot_wz_item,itemspawnentry,unknown,attachment,None
9,cu19_item,itemspawnentry,unknown,quest,None
10,frag_grenade_wz_item,itemspawnentry,1,equipment,None
11,sniper_damagesemi_t8_item,itemspawnentry,1,weapon,Common
12,cash_item_500,itemspawnentry,500,cash,None
13,tr_midburst_t8_item,itemspawnentry,1,weapon,Common
14,cu20_item,itemspawnentry,unknown,quest,None
15,perk_item_squadlink,itemspawnentry,1,generic,None
16,pbr_wz_vehicle_grey,itemspawnentry,unknown,vehicle,None
17,motorcycle_wz_vehicle_light_grey,itemspawnentry,unknown,vehicle,None
18,cu11_item,itemspawnentry,unknown,quest,None
19,lmg_spray_t8_item,itemspawnentry,1,weapon,Common
20,fastmag_wz_item,itemspawnentry,unknown,attachment,None
21,ww_crossbow_impaler_t8_item,itemspawnentry,1,weapon,Common
22,tr_powersemi_t8_item,itemspawnentry,1,weapon,Common
23,pbr_wz_vehicle_tan,itemspawnentry,unknown,vehicle,None
24,lmg_spray_t8_wallbuy_item,itemspawnentry,1,weapon,Common
25,launcher_standard_operator_t8_item,itemspawnentry,1,weapon,Legendary
26,tomahawk_t8_wz_item_pandemic,itemspawnentry,1,equipment,None
27,smoke_grenade_wz_item_spring_holiday,itemspawnentry,1,equipment,None
28,perk_item_outlander,itemspawnentry,1,generic,None
29,ar_fastfire_t8_wallbuy_item,itemspawnentry,1,weapon,Common
30,swat_grenade_wz_item,itemspawnentry,1,equipment,None
31,smg_minigun_t8_item,itemspawnentry,1,weapon,Common
32,tritium_wz_item,itemspawnentry,unknown,attachment,None
33,warmachine_wz_item,itemspawnentry,1,weapon,None
34,ammo_type_338_item,itemspawnentry,30,ammo,None
35,motorcycle_wz_vehicle_heroes,itemspawnentry,unknown,vehicle,None
36,cu16_item,itemspawnentry,unknown,quest,None
37,melee_coinbag_t8_item,itemspawnentry,1,weapon,Common
38,shotgun_fullauto_t8_wallbuy_item,itemspawnentry,1,weapon,Common
39,helicopter_light_wz_vehicle_grey,itemspawnentry,unknown,vehicle,None
40,helicopter_attack_wz_vehicle_black,itemspawnentry,unknown,vehicle,None
41,muscle_car_wz_vehicle_racing_green,itemspawnentry,unknown,vehicle,None
42,sniper_powersemi_t8_wallbuy_item,itemspawnentry,1,weapon,Common
43,motorcycle_wz_vehicle_olive,itemspawnentry,unknown,vehicle,None
44,health_item_medium,itemspawnentry,1,health,Common
45,perk_item_doublejump,itemspawnentry,1,generic,None
46,ar_fastfire_t8_item,itemspawnentry,1,weapon,Common
47,ammo_type_12ga_double_item,itemspawnentry,40,ammo,None
48,trophy_system_wz_item,itemspawnentry,1,equipment,None
49,ar_doublebarrel_t8_item,itemspawnentry,1,weapon,Common
50,flare_gun_wz_item,itemspawnentry,1,equipment,None
