name,type,readonly,offset,size,weaponType,getter
projectilemodel,xmodel,true,0x0,0x0,invalid,BlackOps4.exe+6c1690
spinuptime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1340
spindowntime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1360
isscavengable,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c1ce0
doesfiredamage,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c1d20
enemycrosshairrange,float,true,0x0,0x0,invalid,BlackOps4.exe+6c19f0
enemycrosshairadsrange,float,true,0x0,0x0,invalid,BlackOps4.exe+6c1a10
var_22082a57,xmodel,true,0x0,0x0,invalid,BlackOps4.exe+6c17a0
var_21329beb,int,true,0x0,0x0,invalid,BlackOps4.exe+6c18c0
var_bfbec33f,float,true,0x0,0x0,invalid,BlackOps4.exe+6c1990
var_326287eb,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c1c20
attachments,int,true,0x0,0x0,invalid,BlackOps4.exe+6bfaf0
supportedattachments,int,true,0xa40,0x8,def,BlackOps4.exe+6bfb80
startammo,int,true,0x0,0x0,invalid,BlackOps4.exe+6bfc30
maxammo,int,true,0x0,0x0,invalid,BlackOps4.exe+6bfca0
guidedmissiletype,int,true,0x410,0x4,properties,BlackOps4.exe+6bfd10
lockontype,int,true,0x594,0x4,properties,BlackOps4.exe+6bfdb0
weapclass,int,true,0x580,0x4,properties,BlackOps4.exe+6c0000
isrocketlauncher,byte,true,0x0,0x0,invalid,BlackOps4.exe+6bfe50
type,int,true,0x5c0,0x4,properties,BlackOps4.exe+6bfe80
isbulletweapon,int,true,0x5c0,0x4,properties,BlackOps4.exe+6bff20
isgrenadeweapon,int,true,0x5c0,0x4,properties,BlackOps4.exe+6bff50
isprojectileweapon,int,true,0x5c0,0x4,properties,BlackOps4.exe+6bff80
isgasweapon,int,true,0x5c0,0x4,properties,BlackOps4.exe+6bffb0
isriotshield,int,true,0x5c0,0x4,properties,BlackOps4.exe+6bffe0
iskillstreak,int,true,0x580,0x4,properties,BlackOps4.exe+6c00a0
offhandclass,int,true,0x4b4,0x4,properties,BlackOps4.exe+6c00d0
offhandslot,int,true,0x4b8,0x4,properties,BlackOps4.exe+6c0170
islethalgrenade,int,true,0x4b8,0x4,properties,BlackOps4.exe+6c0210
istacticalgrenade,int,true,0x4b8,0x4,properties,BlackOps4.exe+6c0240
isequipment,int,true,0x4b8,0x4,properties,BlackOps4.exe+6c0270
isspecificuse,int,true,0x4b8,0x4,properties,BlackOps4.exe+6c02a0
var_7d7f8489,int,true,0x4b8,0x4,properties,BlackOps4.exe+6c02d0
var_4526a6ef,int,true,0x4b8,0x4,properties,BlackOps4.exe+6c0300
inventorytype,int,true,0x58c,0x4,properties,BlackOps4.exe+6c0330
isprimary,int,true,0x58c,0x4,properties,BlackOps4.exe+6c05b0
isitem,int,true,0x58c,0x4,properties,BlackOps4.exe+6c05e0
isaltmode,int,true,0x58c,0x4,properties,BlackOps4.exe+6c0610
projexplosiontype,int,true,0x5ac,0x4,properties,BlackOps4.exe+6c06c0
customsettings,scriptbundle,true,0x1020,0x8,def,BlackOps4.exe+6c1560
shrapnelsettings,scriptbundle,true,0x1028,0x8,def,BlackOps4.exe+6c1590
var_8456d4d,scriptbundle,true,0x1050,0x8,def,BlackOps4.exe+6c15c0
name,hash,true,0x0,0x0,invalid,BlackOps4.exe+6c09a0
displayname,hash,true,0x0,0x0,invalid,BlackOps4.exe+6c09d0
var_96850284,hash,true,0x0,0x0,invalid,BlackOps4.exe+6c1c40
var_26f68e75,hash,true,0x0,0x0,invalid,BlackOps4.exe+6c1c90
var_8a03df2b,hash,true,0x750,0x10,def,BlackOps4.exe+6c0a00
altweapon,object,true,0x0,0x0,invalid,BlackOps4.exe+6c0e80
grenadeweapon,object,true,0x0,0x0,invalid,BlackOps4.exe+6c0ec0
dualwieldweapon,object,true,0x0,0x0,invalid,BlackOps4.exe+6c0f50
ammoindex,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0c40
isgadget,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0640
isabilityweapon,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0660
isheavyweapon,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0680
isheroweapon,int,true,0x0,0x0,invalid,BlackOps4.exe+6c06a0
ismeleeweapon,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0cb0
isdualwield,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0f90
istimeddetonation,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0fd0
meleedamage,int,true,0x0,0x0,invalid,BlackOps4.exe+6c19b0
meleetime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0da0
meleepowertime,int,true,0xf18,0x4,properties,BlackOps4.exe+6c0dd0
meleepowertimeleft,int,true,0xf28,0x4,properties,BlackOps4.exe+6c0e10
meleechargetime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0e50
isfullauto,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0a60
issemiauto,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0a90
isburstfire,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0ac0
isstackedfire,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0b10
isalllockedfire,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0b40
ischargeshot,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0b70
islauncher,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0ba0
statname,hash,true,0x0,0x0,invalid,BlackOps4.exe+6c0f20
statindex,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0f00
maxdamage,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0760
maxdamagerange,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0780
mindamagerange,int,true,0x0,0x0,invalid,BlackOps4.exe+6c07d0
var_2d276877,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0820
var_6aac6921,int,true,0x0,0x0,invalid,BlackOps4.exe+6c08e0
aimdownsight,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c1d00
gadget_activatemode,int,true,0x3b4,0x4,properties,BlackOps4.exe+6c03d0
gadget_weaponholdmode,int,true,0x3c4,0x4,properties,BlackOps4.exe+6c0470
gadget_powerusetype,int,true,0x3c8,0x4,properties,BlackOps4.exe+6c0510
firetype,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0a30
clipindex,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0c10
clipsize,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0c70
shotcount,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0c90
deathcamtime,int,true,0xccc,0x4,properties,BlackOps4.exe+6c0cd0
firetime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0d10
firstraisetime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0d40
reloadtime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0d70
var_cfc07f04,int,true,0x0,0x0,properties,BlackOps4.exe+6c19d0
nextchargelevelweapon,int,true,0x0,0x0,invalid,BlackOps4.exe+6c15f0
var_eb19d8cb,float,true,0x0,0x0,invalid,BlackOps4.exe+6c1940
var_ed6ea786,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c1960
fusetime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c0fb0
allowsdetonationduringreload,byte,true,0x0,0x0,invalid,BlackOps4.exe+6c0ff0
proximitydetonation,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1010
proximityalarminnerradius,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1030
proximityalarmouterradius,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1050
proximityalarmactivationdelay,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1070
chaineventradius,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1090
chaineventtime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c10b0
chaineventmax,int,true,0x0,0x0,invalid,BlackOps4.exe+6c10d0
cookoffholdtime,int,true,0x0,0x0,invalid,BlackOps4.exe+6c10f0
explosionradius,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1110
explosioninnerradius,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1140
lockonmaxrange,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1160
