988 pooled script(s)

scripts/core_common/default | 00000281CFC8CFC0 60
scripts/core_common/status_effects/status_effect_wound.gsc | 00000281F7970340 700
scripts/core_common/ai/strategic_command.gsc | 00000281F7970A60 889e
scripts/core_common/scene_objects_shared.gsc | 00000281F7979300 17446
scripts/core_common/load_shared.gsc | 00000281F7990760 2cfe
scripts/core_common/death_circle.gsc | 00000281F7993460 72d4
script_14f5577678dab03 | 00000281F799A740 60
script_16d00590b7ac9e6 | 00000281F799A7C0 166
scripts/core_common/loot_tracking.gsc | 00000281F799A940 1bc
scripts/core_common/filter_shared.csc | 00000281F799AB00 3108
scripts/core_common/scriptmodels_shared.gsc | 00000281F799DC20 3a8
scripts/core_common/duplicaterender_mgr.gsc | 00000281F799DFE0 60
script_272c2c9da7e6858 | 00000281F799E060 cf2
scripts/core_common/status_effects/status_effect_slowed.csc | 00000281F799ED60 bc
scripts/core_common/tracker_shared.gsc | 00000281F799EE20 a94
scripts/core_common/bots/bot_util.gsc | 00000281F799F8C0 abc
script_3b8f43c68572f06 | 00000281F79A0380 d46
scripts/core_common/renderoverridebundle.csc | 00000281F79A10E0 1860
scripts/core_common/audio_shared.gsc | 00000281F79A2960 17a6
scripts/core_common/spawnbeacon_shared.gsc | 00000281F79A4120 51a0
scripts/core_common/damagefeedback_shared.gsc | 00000281F79A92E0 24a0
scripts/weapons/wraith_fire.gsc | 00000281F79AB7A0 5458
scripts/killstreaks/killstreak_hacking.gsc | 00000281F79B0C00 db6
scripts/core_common/healthoverlay.gsc | 00000281F79B19C0 26a6
scripts/core_common/dialog_shared.gsc | 00000281F79B4080 84b8
scripts/core_common/flowgraph/flowgraph_sound.csc | 00000281F79BC540 60
scripts/core_common/compass.gsc | 00000281F79BC5C0 948
scripts/weapons/proximity_grenade.gsc | 00000281F79BCF20 309c
scripts/core_common/ai_puppeteer_shared.gsc | 00000281F79BFFC0 30e6
scripts/core_common/platoons.gsc | 00000281F79C30C0 682
scripts/weapons/deployable.gsc | 00000281F79C3760 2aa8
scripts/core_common/loadout_shared.gsc | 00000281F79C6220 6b4
scripts/core_common/callbacks_shared.gsc | 00000281F79C68E0 6208
scripts/core_common/oob.gsc | 00000281F79CCB00 2516
scripts/core_common/ai/archetype_damage_effects.csc | 00000281F79CF020 2808
script_84f5590d2ac48f8 | 00000281F79D1840 131a
scripts/core_common/mission_shared.csc | 00000281F79D2B60 39e
