id,name,alloc,count,size
0,physpreset,0x2e,0x113,0x78
1,physconstraints,0x1,0x80,0x690
2,destructibledef,0x1,0x80,0x30
3,xanim,0x3ac4,0x6270,0xf8
4,xmodel,0x21de,0x2c00,0x188
5,xmodelmesh,0x3f42,0x8c00,0x78
6,material,0x47c8,0x5800,0x2a0
7,computeshaderset,0x6b,0x100,0x18
8,techset,0x28d,0x400,0x70
9,image,0x9526,0xc000,0x108
10,sound,0xe,0x20,0x220b0
11,sound_patch,0x1,0x10,0x18
12,col_map,0x1,0x2,0x2d0
13,com_map,0x1,0x2,0x88
14,game_map,0x1,0x2,0x50
15,map_ents,0x1,0x2,0x48
16,gfx_map,0x1,0x2,0x2040
17,lightdef,0x1,0x20,0x28
18,lensflaredef,0x0,0x46,0x218
19,ui_map,0x0,0x0,0x0
20,font,0x0,0x10,0x38
21,fonticon,0x3,0x10,0x20
22,localize,0x5894,0x6400,0x10
23,weapon,0x187,0x600,0x300
24,weapondef,0x0,0x0,0x0
25,weaponvariant,0x0,0x0,0x0
26,weaponfull,0x0,0x0,0x0
27,cgmediatable,0x2,0x5,0x420
28,playersoundstable,0x8,0x10,0x448
29,playerfxtable,0x8,0x10,0x98
30,sharedweaponsounds,0x21,0x40,0xf0
31,attachment,0x57,0x80,0x220
32,attachmentunique,0x5c3,0x864,0x840
33,weaponcamo,0xcc,0x200,0x18
34,customizationtable,0x5,0x8,0x28
35,customizationtable_feimages,0x5,0x8,0x18
36,customizationtablecolor,0x2fc,0x400,0x30
37,snddriverglobals,0x1,0x1,0x78
38,fx,0x47a,0x7d0,0x90
39,tagfx,0x12,0x40,0x18
40,klf,0x1b,0x46,0xa8
41,impactsfxtable,0x2c,0x100,0x18
42,impactsoundstable,0x25,0x40,0x20
43,player_character,0x0,0x8,0x90
44,aitype,0x2,0x60,0x930
45,character,0x7,0x96,0x270
46,xmodelalias,0x2,0x30,0x198
47,rawfile,0xc4b,0x1388,0x18
48,stringtable,0xa4,0xdc,0x20
49,structuredtable,0x16,0x69,0x38
50,leaderboarddef,0xe7,0x100,0x30
51,ddl,0x2e,0x40,0x60
52,glasses,0x0,0x2,0x58
53,texturelist,0x0,0x8,0x48
54,scriptparsetree,0x284,0x47e,0x18
55,keyvaluepairs,0x18,0x40,0x18
56,vehicle,0x1,0x40,0xaa8
57,addon_map_ents,0x0,0x1,0x68
58,tracer,0x1c,0x64,0x98
59,slug,0x0,0x5,0x18
60,surfacefxtable,0x2d,0x40,0x148
61,surfacesounddef,0x9d,0x100,0xa8
62,footsteptable,0xe,0x20,0x40
63,entityfximpacts,0x15,0x100,0x218
64,entitysoundimpacts,0x7b,0x100,0x110
65,zbarrier,0x0,0x10,0x300
66,vehiclefxdef,0x1,0x20,0x3d8
67,vehiclesounddef,0x1,0x20,0x1000
68,typeinfo,0x0,0x0,0x0
69,scriptbundle,0x2c3,0x400,0x30
70,scriptbundlelist,0x19,0x40,0x20
71,rumble,0x54,0x118,0x40
72,bulletpenetration,0x1,0x1,0x1e8
73,locdmgtable,0x1,0x1,0x60
74,aimtable,0x2,0xc,0x330
75,animselectortable,0x2,0x40,0x18
76,animmappingtable,0x3,0x40,0x18
77,animstatemachine,0x2,0x40,0x38
78,behaviortree,0x2,0x40,0x28
79,behaviorstatemachine,0x1,0x80,0x20
80,ttf,0x1b,0x30,0x20020
81,sanim,0xf,0x400,0x70
82,lightdescription,0xa4,0x226,0x240
83,shellshock,0x1f,0x40,0xb0
84,xcam,0xe1,0x214,0xa8
85,bgcache,0x9,0x20,0x18
86,texturecombo,0x7,0x10,0x80
87,flametable,0x2,0x10,0x218
88,bitfield,0x25,0x34,0x20
89,attachmentcosmeticvariant,0x148,0x280,0x18
90,maptable,0x11,0x19,0x28
91,maptableloadingimages,0x10,0x19,0x18
92,medal,0xce,0x300,0x30
93,medaltable,0xa,0x20,0x18
94,objective,0x6,0x100,0x70
95,objectivelist,0x1,0x40,0x18
96,umbra_tome,0x0,0x0,0x0
97,navmesh,0x1,0x2,0x68
98,navvolume,0x1,0x2,0x48
99,binaryhtml,0x0,0x800,0x18
100,laser,0x4,0x32,0x70
101,beam,0x5,0x32,0x2b0
102,streamerhint,0x16,0x32,0x28
103,string,0x0,0x0,0x0
