0 physpreset | 1F2611E6840 | 1632331840B 498/498
1 physconstraints | 1F2614E68C0 | 1632602176B 498/498
2 destructibledef | 1F261529120 | 1554912608B 275/498
3 xanim | 1F25CAE26B8 | 1554945608B 512/498
4 xmodel | 1F25CAEC888 | 1554970184B 128/498
5 xmodelmesh | 1F25CAEF7C8 | 1554978376B 25000/498
6 material | 1F25CE5A478 | 1562578376B 16384/498
7 computeshaderset | 1F25D53D4E8 | 1568083400B 64000/498
8 techset | 1F25DAF68F8 | 1573715400B 41984/498
9 image | 1F25E4FA3F0 | 1586814408B 256/498
a sound | 1F25E94F288 | 1586822600B 2200/498
b col_map | 1F25E99AF60 | 1587192200B 85504/498
c com_map | 1F25F255428 | 1598820744B 32/498
d game_map | 1F25F4C1D68 | 1627764912B 2/498
e gfx_map | 1F26105BB88 | 1627766368B 2/498
f fonticon | 1F26105BEC0 | 1627766560B 2/498
10 localizeentry | 1F26105BF80 | 1627766752B 2/498
11 localize | 1F26105DA90 | 1598830472B 16/498
12 gesture | 1F25F4C3800 | 1598831112B 25600/498
13 gesturetable | 1F25F54E908 | 0B 0/0
14 weapon | 0 | 1599445512B 2048/498
15 weaponfull | 1F25F59DCD0 | 1600510472B 256/498
16 weapontunables | 1F25F65E708 | 1600537096B 1536/498
17 cgmediatable | 1F25F883988 | 0B 0/0
18 playersoundstable | 0 | 1608917512B 1536/498
19 playerfxtable | 1F26003F598 | 1616087176B 6/498
1a sharedweaponsounds | 1F260538F10 | 1616032264B 16/498
1b attachment | 1F260531008 | 1616080392B 16/498
1c attachmentunique | 1F2605370A8 | 1625692680B 80/498
1d weaponcamo | 1F260E68188 | 1616097208B 512/498
1e customizationtable | 1F2605B59E8 | 1616662456B 2560/498
1f customizationtable_feimages | 1F2609D5058 | 1622806456B 512/498
20 snddriverglobals | 1F260BA1738 | 1622822840B 8/498
21 fx | 1F260BA5078 | 1622823224B 8/498
22 tagfx | 1F260BA5158 | 1622823480B 1/498
23 klf | 0 | 1622823608B 4096/498
24 impactsfxtable | 1F260C0CF58 | 1616083080B 128/498
25 impactsoundstable | 1F260537D28 | 1623478968B 115/498
26 aitype | 1F260C4A718 | 1623503808B 256/498
27 character | 1F260C4BA60 | 1623512000B 80/498
28 xmodelalias | 1F260C4D9A8 | 1623516480B 127/498
29 rawfile | 1F260C5F340 | 1624004160B 200/498
2a animtree | 1F260CD1BC0 | 1624132160B 150/498
2b stringtable | 1F260CE5260 | 1624194560B 1000/498
2c structuredtable | 1F260CF4E20 | 1624226560B 3/498
2d leaderboarddef | 1F260CFBB60 | 1624226704B 220/498
2e ddl | 1F260CFDB90 | 1624240784B 96/498
2f glasses | 1F260CFF3D0 | 1624246928B 128/498
30 scriptparsetree | 1F260D01858 | 1624254096B 395/498
31 scriptparsetreedbg | 1F260D094E8 | 1624288856B 2/498
