pointid,name,type,amount,itemtype,rarity
0,shotgun_semiauto_t8_item,itemspawnentry,1,weapon,Common
1,perk_item_consumer,itemspawnentry,1,generic,None
2,cymbal_monkey_wz_item,itemspawnentry,1,equipment,None
3,hatchet_wz_item,itemspawnentry,1,equipment,None
4,molotov_wz_item,itemspawnentry,1,equipment,None
5,sensor_dart_wz_item,itemspawnentry,1,equipment,None
6,smg_standard_t8_gold_item,itemspawnentry,1,weapon,Epic
7,reddot_wz_item,itemspawnentry,unknown,attachment,None
8,cu19_item,itemspawnentry,unknown,quest,None
9,frag_grenade_wz_item,itemspawnentry,1,equipment,None
10,sniper_damagesemi_t8_item,itemspawnentry,1,weapon,Common
11,cash_item_500,itemspawnentry,500,cash,None
12,tr_midburst_t8_item,itemspawnentry,1,weapon,Common
13,cu20_item,itemspawnentry,unknown,quest,None
14,perk_item_squadlink,itemspawnentry,1,generic,None
15,cu11_item,itemspawnentry,unknown,quest,None
16,lmg_spray_t8_item,itemspawnentry,1,weapon,Common
17,fastmag_wz_item,itemspawnentry,unknown,attachment,None
18,ww_crossbow_impaler_t8_item,itemspawnentry,1,weapon,Common
19,tr_powersemi_t8_item,itemspawnentry,1,weapon,Common
20,lmg_spray_t8_wallbuy_item,itemspawnentry,1,weapon,Common
21,launcher_standard_operator_t8_item,itemspawnentry,1,weapon,Legendary
22,tomahawk_t8_wz_item_pandemic,itemspawnentry,1,equipment,None
23,smoke_grenade_wz_item_spring_holiday,itemspawnentry,1,equipment,None
24,perk_item_outlander,itemspawnentry,1,generic,None
25,ar_fastfire_t8_wallbuy_item,itemspawnentry,1,weapon,Common
26,swat_grenade_wz_item,itemspawnentry,1,equipment,None
27,smg_minigun_t8_item,itemspawnentry,1,weapon,Common
28,tritium_wz_item,itemspawnentry,unknown,attachment,None
29,warmachine_wz_item,itemspawnentry,1,weapon,None
30,ammo_type_338_item,itemspawnentry,30,ammo,None
31,cu16_item,itemspawnentry,unknown,quest,None
32,melee_coinbag_t8_item,itemspawnentry,1,weapon,Common
33,shotgun_fullauto_t8_wallbuy_item,itemspawnentry,1,weapon,Common
34,sniper_powersemi_t8_wallbuy_item,itemspawnentry,1,weapon,Common
35,health_item_medium,itemspawnentry,1,health,Common
36,perk_item_doublejump,itemspawnentry,1,generic,None
37,ar_fastfire_t8_item,itemspawnentry,1,weapon,Common
38,ammo_type_12ga_double_item,itemspawnentry,40,ammo,None
39,trophy_system_wz_item,itemspawnentry,1,equipment,None
40,ar_doublebarrel_t8_item,itemspawnentry,1,weapon,Common
41,flare_gun_wz_item,itemspawnentry,1,equipment,None
42,smg_accurate_t8_operator_item,itemspawnentry,1,weapon,Legendary
43,cu12_item,itemspawnentry,unknown,quest,None
44,sniper_quickscope_t8_item,itemspawnentry,1,weapon,Common
45,armor_shard_item,itemspawnentry,unknown,armor_shard,None
46,laser_sight_wz_item,itemspawnentry,unknown,attachment,Common
47,ar_galil_t8_item,itemspawnentry,1,weapon,Common
48,sniper_mini14_t8_item,itemspawnentry,1,weapon,Common
49,pistol_grip_wz_item,itemspawnentry,unknown,attachment,Common
50,melee_cutlass_t8_item,itemspawnentry,1,weapon,Common
51,lmg_standard_t8_operator_item,itemspawnentry,1,weapon,Legendary
52,sniper_powerbolt_t8_gold_item,itemspawnentry,1,weapon,Epic
